"id","tagName","es","en"
"1","flag","https://flagcdn.com/h40/uy.png","https://flagcdn.com/h20/gb.png"
"2","splashScreenTextSup","Arma tu tour","Build your tour"
"3","splashScreenTextInf","o descubri los del momento","or discover the ones of the moment"
"4","wellcomeMessage","Bienvenido/a","Wellcome"
"5","wellcomeMessageUser","invitado","Guest"
"6","searchPlaceholder","Buscá tu proximo destino"
"7","lenguageFlagLabel","Lenguaje","Lenguage"
"8","registerLabel","Registrarse","Register"
"9","loginLabel","Iniciar Sesion","Login"
"10","changeLanguageLabel","Cambiar Idioma","Change Lenguage"
"11","predefinedToursLabel","Tours Predefinidos","Predefined Tours"
"12","buildMyTourLabel","Armar Mi Tour","Build My Tour"
"13","lodginLabel","Hospedaje","Lodgin"
"14","gastronomylabel","Gastronomia","Gastronomy"
"15","outingLabel","Paseos","Outing"
"16","transportLabel","Transporte","Transport"
"17","loginTitle","Ingresar","Login"
"18","needAnAccountText","Necesitas una cuenta?","Do you need an account?"
"19","closeButtonValue","Cerrar","Close"
"20","registerTitle","Registrarse","Register"
"21","registerEmailPlaceholder","Correo electronico","Email"
"22","registerPasswordConfirmationPlaceholder","Confirmacion de Password"
"23","registerNamePlaceholder","Nombre","Name"
"24","registerButtonValue","Registro","Register"
"25","backTologinText","Volver al login","Back to login"
"26","userNationalityText","Nacionalidad","Nationalty"
"27","userDateOfBirthText","Fecha de nacimiento","Date of Birth"
"28","myPreferencesTitle","Mis Preferencias","My Preferences"
"29","whithoutPreferencesText","Sin preferencias registradas","Whithout Preferences"
"30","changePreferencesButtonValue","Cambiar Preferencias","Change Preferences"
"31","enterPreferencesButtonValue","Ingresar Preferencias","Enter Preferences"
"32","preferencesTitleCreateProfile","Crear Perfil","Create Profile"
"33","preferencesTitleUpdateProfile","Actualizar Perfil","Update Profile"
"34","preferencesLodginLabel","Alojamiento","Lodgin"
"35","preferencesGastronomyLabel","Gastronomia","Gastronomy"
"36","preferencesShowsLabel","Espectaculos","Shows"
"37","preferencesOutdoorActivitiesLabel","Actividades Al Aire Libre","Outdoor Activities"
"38","preferencesNightActivitiesLabel","Actividades Nocturnas","Night Activities"
"39","preferencesTransportLabellabel","Transporte","Transport"
"40","preferencesChildrensActivitiesLabel","Actividades Infantiles","Childrens Activities"
"41","preferencesEssentialsServicesLabel","Servicios Esenciales","Essentials Services"
"42","prefrencesbtnSendValue","Enviar","Send"
"43","preferencesBackText","Volver Atras","Back"
"44","contactText","Contactanos","Contact Us."
"45","showsLabel","Espectaculos","Shows"
"46","nightActivitiesLabel","Actividades Nocturnas","Evening activities"
"47","esentialsServicesLabel","Servicios Esenciales","Essential Services"
"48","childActivities","Actividades Infantiles","Children´s activities"
"49","category","Categoria","Category"
"50","registerPasswordPlaceholder","Contraseña","Password"
"51","userProfileLabel","Perfil de Usuario","User profile"
"52","logoutLabel","Cerrar sesion","Logout"
"53","emailPlaceholder","Correo Electronico","Email"
"54","passwordPlaceholder","Contraseña","Password"
"55","loginLabel","Iniciar Sesion","Login"
"56","emailUpdateTitle","Actualizar email","Email update"
"57","updateLabel","Actualizar","Update"
"58","backToUserProfile","Volver a Perfil de Usuario","Back to user profile"
"59","nameUpdateTitle","Actualizar nombre","Name update"
"60","passwordUpdateTitle","Actualizar contraseña","Password update"
"61","changePassword","Cambiar Contraseña","Change password"
"62","changename","Cambiar Nombre","Change name"
"63","changeEmail","Cambiar email","Change email"
"64","seeMoreCategories","Ver mas Categorias","See more categories"
"65","seeLessCategories","Ver menos Categorias","See less categories"
